Tag,Class,Description,Category,Keywords
Cognitive Load Management,Skill,Reduce one's cognitive load by using strategies for learning and managing new information.,Cognitive Load Management,"Being, 21st Century Skills, GeneralEducation2019, Coordinating, GE Framework, Organizational Skills, Timelines, Cognitive Load Management, Cognitive Load Theory"
Collaboration,Skill,Work with others to complete tasks efficiently.,Collaboration,"Collaboration, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Change Manager"
Collaborative Learning,Skill,Collaborate with others to solve problems.,Collaborative Learning,"Transferrable Skills Across Occupations, Collaborative Learning"
Collections,Skill,Collect unpaid debts from individuals with delinquent accounts.,Collections,Collections
Commercial Finance,Skill,Implement customized lending packages that reduce risk by offering such terms as balloon maturity and prepayment penalty to guarantee a fixed return.,Commercial Finance,"Finance, Commercial Finance, Commercial Lending"
Communicable Diseases,Skill,Teach an infected patient about communicable diseases.,Communicable Diseases,"Medical Assistant, Communicable Diseases"
Communication Strategies,Skill,Use simple and clear vocabulary for improved message comprehension.,Communication Strategies,"Transferrable Skills Across Occupations, Change Manager, Communication Strategies"
Communication and Interaction,Skill,Summarize a conversation with another person by reflecting back what was said.,Communication and Interaction,"21st Century Skills, Communications, Doing, Interpersonal Skills, Written Communication, Writing, Editing, Operations, Parent Communication, Negotiation, GE Framework, Management, Grammar, Verbal Communication Skills, Oral Communication, Presentations, Interpersonal Communication, Communication and Interaction, Communication Theories, Human Communication, Interactive Communications, Sales, Literacy"
Communications,Skill,Communicate with the team leader about workload changes.,Communications,"Communications, workload"
Community Health,Skill,Identify the benefits of community health for individuals and families.,Community Health,Community Health
Community Management,Skill,"Utilize social media platforms to interact with target audiences, generate conversations, and foster relationships.",Community Management,"Community Management, Influencer"
Compassion,Skill,Validate the needs of others in challenging situations.,Compassion,"Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Interpersonal Communication, needs, promote, challenging situations"
Compensation Management,Skill,Develop pay ranges based on compensation management guidelines.,Compensation Management,"Management, Compensation Management"
Competitive Analysis,Skill,Interpret a sentiment analysis of customer segments using a social media monitoring platform.,Competitive Analysis,"Analysis, Social Media, Analytical Skills, Competitive Analysis, Brandwatch, Radian6, Customer Segments"
Complex Sales,Skill,Identify the list of stakeholders within the target customer organization.,Complex Sales,"Complex Sales, Stakeholders"
Compliance Training,Skill,Create periodic reports on training activities for executive management.,Compliance Training,"Business Ethics, Professional Ethics, Doing, Compliance Training"
Computational Thinking,Skill,Use trial and error to test algorithms and find errors.,Computational Thinking,"Transferrable Skills Across Occupations, Computational Thinking"
Computer Data Storage,Skill,"Secure records, content, and data according to institutional policies.",Computer Data Storage,Computer Data Storage
Computer Engineering,Skill,Test code for accuracy and reliability.,Computer Engineering,"Systems Engineer, Computer Engineering"
Computer Forensics,Skill,Interpret host and network logs and telemetry from a centralized database.,Computer Forensics,"Computer Forensics, Hands-On Incident Response Fundamentals, Indicators of Compromise (IOC)"
Computer Fundamentals,Skill,Schedule an appointment with a client via email.,Computer Fundamentals,"Medical Assistant, Computer Fundamentals"
Computer Hardware,Skill,Implement computer hardware and software for complex business use.,Computer Hardware,Computer Hardware
Computer Literacy,Skill,Demonstrate the ability to work within several computer programs at the same time.,Computer Literacy,"Computer Literacy, Foundational Literacies"
Computer Maintenance,Skill,Install software updates.,Computer Maintenance,"Computer Maintenance, CCleaner"
Computer Network Defense,Skill,Implement platform security to prevent attacks across multiple devices.,Computer Network Defense,"Network Defense (CND Prep), Computer Network Defense, Computer Network Defense (CND)"
Computer Network Operations,Skill,"Configure Wi-Fi settings, passwords, and channels.",Computer Network Operations,Computer Network Operations
Computer Networks,Skill,"Manage users, groups, and devices for a workgroup environment or single domain.",Computer Networks,Computer Networks
Computer Programming,Skill,Write computer program source code in a selected language.,Computer Programming,"Python, computer, C#, JavaScript, Java, PHP, Computer Programming, compiler, integrated development environment (IDE), Golang, Fortran"
Computer Science,Skill,Use cloud computing services.,Computer Science,"Computer Science, Foundational Literacies, Programming Literacy, Transferrable Skills Across Occupations"
Computer Security,Skill,Verify users for library materials and services.,Computer Security,"Computer Security, Norton, McAfee, Windows Defender, Faronics"
Computer Systems,Skill,Differentiate between storage and memory.,Computer Systems,"Computer Systems, hard drives, Random Access Memory (RAM)"
Computer Terminals,Skill,Troubleshoot errors with pharmacy computer software.,Computer Terminals,"computer terminals, problem-solve, troubleshoot"
Computer-Aided Design,Skill,Execute the primary keyboard shortcuts for the computer-aided design software being used.,Computer-Aided Design,"DesignCAD, AutoCAD, Computer-Aided Design, SketchUp, CATIA, CADSTAR, FreeCAD"
Conceptual Model,Skill,Create a visual architecture or flowchart that represents a conceptual model of a complex project or system.,Conceptual Model,Conceptual Model
Configuration Management,Skill,Implement a workflow for configuration change management.,Configuration Management,"Microsoft Word, email, phone, text messaging, Configuration Management, configuration management software, database, reporting server."
Conflict Resolution,Skill,Implement changes to work processes to reduce negative feelings among peer employee groups.,Conflict Resolution,"Conflict Resolution, Implementation"
Consolidation,Skill,Eliminate entries in the workpapers at the date of acquisition.,Consolidation,Consolidation
Construction,Skill,Ensure the training of workers on-site protocol and procedures.,Construction,"StackableMBA2019, Construction"
Construction Management,Skill,Inspect projects to monitor compliance with environmental regulations.,Construction Management,"SAS, Microsoft Dynamics, Construction Management, Palisade StatTools, PDA"
Constructive Feedback,Skill,Suggest specific ways to improve.,Constructive Feedback,"Constructive Feedback, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Change Managers"
Consultation,Skill,Manage interactions with vendors and suppliers to maintain service quality.,Consultation,"Human Resources, HR, SHRM, Consulting, Consultation, Consultative Approaches, business, Customer Interaction"
Consultative Approaches,Skill,Identify work priorities through consultation with stakeholders.,Consultative Approaches,"Email Software, Human Capital Management (HCM) software, Consultative Approaches, Enterprise Resource Planning (ERP) software"
Consulting,Skill,Consult with the doctor regarding patient status changes.,Consulting,"Consulting, patient status"
Consumer Behavior,Skill,Use social media to influence consumer behavior.,Consumer Behavior,"Influencer, Consumer Behavior"
Consumer Engagement,Skill,Determine patient needs for enhanced consumer engagement.,Consumer Engagement,"Determination, Consumer Engagement, patient interaction"
Consumer Sales,Skill,Leverage social media platforms to promote products.,Consumer Sales,"Influencer, Consumer Sales"
Container Management,Skill,Implement container images.,Container Management,"Microsoft Azure, Container Management"
Container Security,Skill,Secure the container deployment environments and infrastructure.,Container Security,"Container Security, Securing Docker Container Workloads"
Content Creation,Skill,Utilize storytelling techniques to enhance content.,Content Creation,"Influencer, Content Creation"
Content Editing,Skill,Implement feedback from stakeholders to improve content.,Content Editing,"Influencer, Content Editing"
Content Management,Skill,"Integrate third-party channel plug-ins to allow tracking, tracing, and analyzing of organizational and strategic marketing efforts through identified key performance indicators (KPIs).",Content Management,"Marketing, Key Performance Indicators (KPIs), Strategic Marketing, Marketing Strategy, Key Performance Indicators, KPIs, Content Management"
